Company,Business Registration,Year of Incorporation,Chief Executive,CEO Position,Business Enquiry,Business Contact Person Position,Office Address,Postcode,City/Town,State,Country,Telephone,Fax,Email,Website,Production Processes,Products Manufactured/Business Line,Current Export Markets
Bagan Printers Sdn Bhd,97795-P,1983.0,Phee Boon Eow,Director,Phee Boon Chee,Director,"5887, Mak Mandin Industrial Estate",13400.0,Butterworth,Pulau Pinang,Malaysia,604-333 3819,604-331 7936,annette@aaplastic.com.my,,"Gravure Printing, Wet Extrusion , Dry Lamination, Pouch Making","Laminate Films, Preformed, Refont Pouches, Zip-lock Pouches , Films and Bags","Japan, New Zealand, Maldives, Thailand, Singapore, Myanmar"
Ban Hing Loong Plastic Factory Sdn Bhd,,1979.0,Phang Wai Heng,Director,Phang Wei Khean,Director,"20 Jalan Kilang 3, Jelapang Light Industrial Estate",30100.0,Ipoh,Perak,Malaysia,605-526 2101/5608,605-526 2092,waner@tm.net.my,,Film Blowing/Film Extrusion,"Shopping Bags, Self-adhesive Bags, Garment Bags, Photo Album Pockets, File Protector, Exercise Book Cover Bags, Films and Bags",
Baerlocher (M) Sdn Bhd,,1992.0,Palaniappan S/O Pr Vr Sethu Chettiar,Managing Director,Yee Joon Yee/ Brenda Lee Mei Siang,"Regional Head, SBU-PVC/Regional Head, SBU-SPA","Lot 635 & 660, Kaw Perindustrian Tuanku Jaafar, Sungai Gadut",71450.0,Seremban,Negeri Sembilan,Malaysia,606-678 0240,606-678 0239/4429,abibaplastic@yahoo.com,www.baerlocher.com,,"Additives, Stabiliser","China, Indonesia, India, Singapore, Germany, Dubai United Arab Emirates, , Thailand, Australia, New Zealand, Saudi Arabia, Philippines, Vietnam, Pakistan, Bangladesh, Japan, Myanmar, Qatar, South Korea, Sri Lanka, Taiwan"
A & A Plastic Industries Sdn Bhd,459904-H,,Kiong Kuan Yew,Chief Executive Officer,Annette Tan Lee Ping,Marketing Manager,"33, Jalan Mas Jaya 3, Kawasan Perusahaan Mas Jaya, Batu 9",43200.0,Cheras,Selangor,Malaysia,603-9076 9028/29,603-9076 9030,info@ace.com.my,www.aaplastic.com.my,"Blow Moulding , Silkscreen-painting","Toiletries Products, Packaging Consumer Products , Bathroom/Toilet",
Bee Lian Plastic Industries Sdn Bhd,,1994.0,,,Chua Song Han,,"63-65, Jalan Murni 6, Taman Perindustrian Murni",81400.0,,Johor,Malaysia,607-598 7628/29,607-598 7639,activemachinery@live.com,,Film Blowing/Film Extrusion,"Plastic Bags, Films and Bags",
Ban Seng Plastic Industries & Assembly Sdn Bhd,750117-K,2006.0,Terry Toh Kai Fatt,Managing Director,KY Thien,,"Lot 503, Jalan TUDM, Kampung Baru Subang, Seksyen U6",40150.0,Shah Alam,Selangor,Malaysia,603-7846 6866/603-7846 2610,603-7846 8166,aisb0810@gmail.com,www.banseng.com.my,"Injection Moulding , Hot-Stamping (Foil-Decoration), Silkscreening","Plastic goods for Power Tools & Accessories, Air-Conditioning & Accessories, Commercial & Industrial Air Filter, Household Plastic Products, Office Furniture Solution , Electrical and Electronics, Houseware, Kitchenware and Tableware, OEM Manufacturing, Others , Furniture",
Behn Meyer Specialties (M) PLT,1205383-K,1840.0,Badar Bin Basir,Executive Director,Leon Chong,Division Manager,"No. 5, Jalan TP2, Taman Perindustrian Sime UEP",47600.0,Subang Jaya,Selangor,Malaysia,603-8026 3333,603-8026 3366/3377,,www.behnmeyer.com,,Trading (Resin & Additives),
Award Packaging Industries Sdn Bhd,517195-D,2000.0,Soh Choon Pink,Executive Director,Sally Lai Kah Gaik,Managing Director,"Lot 3217, Jalan Seelong, Mukim Senai - Kulai",81400.0,Senai,Johor,Malaysia,607-598 8677/599 8677,607-599 3677,info@adikem.com.my,www.awardpack.com,"Film Blowing/Film Extrusion, Film Casting , Printing, Recycling","Agricultural Films/Sheets, Industrial Films, Builders Films, Garbage Bags, Bin Liners, Shopping Bags, Pallet Cover, Fruit and Vegies Bags on Rolls, Stretch Films, Shrink Films, Recycled Resin-HDPE, LDPE, LLDPE, Films and Bags, Industrial and Construction, Packaging","Australia, Singapore, Europe, Middle East, New Zealand"
Azman Hamzah Plastik Sdn Bhd,134722-T,1989.0,Aidil Sufian Bin Mohd Fitri,Managing Director,Mohd Najib Bin Mohd Nawi,Assistant Manager,"Lot 10, Jalan Bursa 23/4, Section 23",40300.0,Shah Alam,Selangor,Malaysia,603-5542 5413/1972,603-5542 5407/1968,sales@adtechmy.com,www.ahpsb.com.my,"Injection Moulding , Vibration Welding , Spray-painting","Automotive Plastic Components, Instrument Panel Assy, Reservoir Power Steering Assy, Reservoir Brake Master Assy, Front and Rear Floor Console Assy, Module, Timing Belt Cover Assy, Water Tank Inlet/Outlet, Scuff Plate, Cover Engine Assy, Radiator Grill Assy, Ashtray Assy, Handle Glove Box Assy, Weather Strip, Handle Regulator Assy, Mudguard Front/Rear, Splash Shield, Expansion Tank Assy, Cluster Meter, Trim Pillar Assy, Transportation",
Avient Colorants Malaysia Sdn Bhd,440790-X,1997.0,Madam Gladys Soh,Managing Director,Madam Gladys Soh,Managing Director,"79 & 80, HICOM Sector B, Jalan Teluk Gadung 27/93A",40000.0,Shah Alam,Selangor,Malaysia,603-5101 2888,603-5191 8718,admin@adventpac.com,www.clariant.com,,"Additives, Masterbatches",
